,Product link,Product name,Product Model,Product Type,Product price,Product police number,Product police number type,Product Mileage,Production year,Product post location,Product color,Product fuel type,Product Transmission
73,https://toyotatrust.astra.co.id/TOYOTA-AVANZA-VELOZ-1.3-AT-(GRAND-NEW)-AT-2018-4679,TOYOTA AVANZA VELOZ 1.3 AT (GRAND NEW) AT 2018,AVANZA,VELOZ 1.3 AT (GRAND NEW),Rp 182.000.000,T 1432 UC,even,46124,2018,Karawang,WHITE,,AT
74,https://toyotatrust.astra.co.id/TOYOTA-AVANZA-VELOZ-1.3-AT-(GRAND-NEW)-AT-2015-4610,TOYOTA AVANZA VELOZ 1.3 AT (GRAND NEW) AT 2015,AVANZA,VELOZ 1.3 AT (GRAND NEW),Rp 151.145.000,S 1817 OB,odd,177006,2015,Surabaya,BLACK,GASOLINE,AT
75,https://toyotatrust.astra.co.id/TOYOTA-AVANZA-VELOZ-1.3-AT-(GRAND-NEW)-AT-2015-4451,TOYOTA AVANZA VELOZ 1.3 AT (GRAND NEW) AT 2015,AVANZA,VELOZ 1.3 AT (GRAND NEW),Rp 144.000.000,D 168 NAR,even,139958,2015,SH,BLACK,GASOLINE,AT
76,https://toyotatrust.astra.co.id/TOYOTA-AVANZA-NEW-AVANZA-1.3-G-MT-BENSIN-MT-2013-3947,TOYOTA AVANZA NEW AVANZA 1.3 G MT BENSIN MT 2013,AVANZA,NEW AVANZA 1.3 G MT BENSIN,Rp 138.000.000,BK 1095 OK,odd,207236,2013,Medan,GREY,GASOLINE,MT
77,https://toyotatrust.astra.co.id/TOYOTA-AVANZA-NEW-AVANZA-1.3-G-AT-BENSIN-AT-2012-4225,TOYOTA AVANZA NEW AVANZA 1.3 G AT BENSIN AT 2012,AVANZA,NEW AVANZA 1.3 G AT BENSIN,Rp 127.000.000,B 1511 SZW,odd,80429,2012,Kalimalang,BLACK,,AT
78,https://toyotatrust.astra.co.id/TOYOTA-AVANZA-GRAND-AVANZA-1.3-G-MT-BENSIN-MT-2017-4348,TOYOTA AVANZA GRAND AVANZA 1.3 G MT BENSIN MT 2017,AVANZA,GRAND AVANZA 1.3 G MT BENSIN,Rp 160.000.000,BK 1160 FI,even,109445,2017,Medan,WHITE,,MT
79,https://toyotatrust.astra.co.id/TOYOTA-AVANZA-GRAND-AVANZA-1.3-G-AT-BENSIN-AT-2017-4196,TOYOTA AVANZA GRAND AVANZA 1.3 G AT BENSIN AT 2017,AVANZA,GRAND AVANZA 1.3 G AT BENSIN,Rp 168.000.000,BK 1412 DO,even,80855,2017,Medan,WHITE,GASOLINE,AT
80,https://toyotatrust.astra.co.id/TOYOTA-AVANZA-AVANZA-1.5-G-MT-MT-2022-4468,TOYOTA AVANZA AVANZA 1.5 G MT MT 2022,AVANZA,AVANZA 1.5 G MT,Rp 230.000.000,B 1269 DFW,odd,89,2022,Bintaro,GREY,GASOLINE,MT
81,https://toyotatrust.astra.co.id/TOYOTA-AVANZA-AVANZA-1.5-G-MT-BENSIN-MT-2017-4449,TOYOTA AVANZA AVANZA 1.5 G MT BENSIN MT 2017,AVANZA,AVANZA 1.5 G MT BENSIN,Rp 168.000.000,BK 1646 GK,even,102399,2017,Medan,BLACK,GASOLINE,MT
82,https://toyotatrust.astra.co.id/TOYOTA-AVANZA-AVANZA-1.3-G-MT-(OLD)-MT-2010-4494,TOYOTA AVANZA AVANZA 1.3 G MT (OLD) MT 2010,AVANZA,AVANZA 1.3 G MT (OLD),Rp 105.000.000,BK 1741 ABK,odd,165691,2010,Medan,BLACK,GASOLINE,MT
83,https://toyotatrust.astra.co.id/TOYOTA-AVANZA-AVANZA-1.3-G-AT-(OLD)-AT-2010-3977,TOYOTA AVANZA AVANZA 1.3 G AT (OLD) AT 2010,AVANZA,AVANZA 1.3 G AT (OLD),Rp 102.000.000,D 1581 RT,odd,152091,2010,SH,GREY,GASOLINE,AT
84,https://toyotatrust.astra.co.id/TOYOTA-AGYA-AGYA-1.2-G-MT-TRD-BENSIN-(NEW)-MT-2019-4504,TOYOTA AGYA AGYA 1.2 G MT TRD BENSIN (NEW) MT 2019,AGYA,AGYA 1.2 G MT TRD BENSIN (NEW),Rp 130.000.000,BK 1158 AAN,even,68356,2019,Medan,BLACK,GASOLINE,MT
85,https://toyotatrust.astra.co.id/TOYOTA-AGYA-AGYA-1.2-G-MT-TRD-BENSIN-(NEW)-MT-2019-3691,TOYOTA AGYA AGYA 1.2 G MT TRD BENSIN (NEW) MT 2019,AGYA,AGYA 1.2 G MT TRD BENSIN (NEW),Rp 133.000.000,BK 1366 AAH,even,35282,2019,Medan,SILVER,GASOLINE,MT
